# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2024-07-23 00:29:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 77866
# output
#   file = /home/rahul/Academics/prob_prog/stan/bernoulli/outputs/bernoulli-20240722202941_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=bernoulli.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.07526
# Diagonal elements of inverse mass matrix:
# 0.176501
-14.9506,0.651117,1.07526,2,3,0,17.3903,0.371125
-14.951,0.999918,1.07526,1,1,0,14.9687,0.371037
-15.5933,0.87413,1.07526,1,3,0,15.6179,0.289996
-14.9205,0.968702,1.07526,1,3,0,15.7469,0.437751
-15.2972,0.88629,1.07526,1,3,0,15.5339,0.316883
-14.8944,0.987164,1.07526,2,3,0,15.3802,0.393759
-14.8902,1,1.07526,1,1,0,14.8943,0.39703
-15.3422,0.883125,1.07526,1,3,0,15.4753,0.510962
-16.3426,0.919023,1.07526,2,3,0,16.3605,0.590188
-15.1261,1,1.07526,2,3,0,16.0882,0.33781
-14.8994,0.987876,1.07526,1,3,0,15.1832,0.427838
-14.8919,0.905211,1.07526,2,3,0,15.4465,0.395649
-14.8836,1,1.07526,1,3,0,14.8909,0.408513
-15.2417,0.911243,1.07526,1,3,0,15.318,0.323042
-15.6711,0.902558,1.07526,1,1,0,15.6937,0.284067
-15.2811,1,1.07526,1,1,0,15.6117,0.318611
-15.0034,0.957897,1.07526,1,3,0,15.585,0.460935
-14.8915,1,1.07526,1,3,0,14.9766,0.422337
-15.5871,0.891478,1.07526,2,3,0,15.7076,0.290487
-15.4343,1,1.07526,1,1,0,15.6536,0.303405
-16.1774,0.809352,1.07526,2,3,0,17.4356,0.252118
-15.4725,1,1.07526,1,1,0,16.0487,0.300003
-15.8833,0.970016,1.07526,2,3,0,15.9487,0.269481
-14.8912,0.98974,1.07526,2,3,0,15.9264,0.396219
-16.1432,0.71089,1.07526,1,3,0,16.4536,0.577596
-17.0163,0.790494,1.07526,1,1,0,17.2129,0.626744
-16.6609,1,1.07526,1,1,0,17.3362,0.608449
-15.6441,1,1.07526,1,1,0,16.4507,0.540303
-15.3513,1,1.07526,2,3,0,15.6423,0.511965
-16.1802,0.931279,1.07526,2,3,0,16.2091,0.580008
-16.7162,0.865037,1.07526,1,1,0,16.9729,0.611429
-17.9732,0.721878,1.07526,1,1,0,18.2476,0.668307
-15.4749,1,1.07526,1,3,0,17.2912,0.524804
-15.121,1,1.07526,1,1,0,15.3952,0.482235
-14.9247,0.982889,1.07526,1,3,0,15.2328,0.379272
-15.6753,0.85519,1.07526,2,3,0,16.0631,0.283758
-16.1291,0.904325,1.07526,1,1,0,16.2262,0.254783
-15.7733,1,1.07526,1,1,0,16.1847,0.276784
-17.3196,0.907803,1.07526,2,3,0,17.3265,0.202324
-16.6854,1,1.07526,1,1,0,17.4437,0.227308
-14.8837,0.983581,1.07526,1,3,0,16.665,0.407402
-15.8101,0.827395,1.07526,2,3,0,16.1844,0.553854
-15.6678,1,1.07526,1,1,0,15.9605,0.542326
-15.0168,1,1.07526,2,3,0,15.5268,0.355869
-14.9543,1,1.07526,1,1,0,15.0088,0.370123
-14.9004,1,1.07526,2,3,0,14.9402,0.428385
-15.2375,0.924927,1.07526,1,3,0,15.2538,0.498515
-15.0335,1,1.07526,1,1,0,15.1941,0.467132
-16.77,0.777101,1.07526,2,3,0,16.8464,0.223652
-14.9521,0.934182,1.07526,1,3,0,17.1578,0.448213
-15.2355,0.968974,1.07526,2,3,0,15.2405,0.323753
-15.0958,1,1.07526,1,1,0,15.2293,0.342285
-15.3009,0.913391,1.07526,2,3,0,15.8757,0.316483
-15.8595,0.877091,1.07526,1,1,0,15.8796,0.271017
-15.1444,1,1.07526,1,1,0,15.6872,0.335242
-14.898,1,1.07526,1,3,0,15.0939,0.391346
-14.8862,0.903278,1.07526,2,3,0,15.485,0.401523
-14.9158,0.991059,1.07526,1,3,0,14.9319,0.435867
-15.3743,0.866777,1.07526,1,3,0,15.6285,0.309037
-15.1728,1,1.07526,1,1,0,15.3612,0.33146
-14.8971,1,1.07526,1,3,0,15.1189,0.391913
-14.8971,0.639113,1.07526,1,3,0,16.501,0.391913
-14.9108,0.739684,1.07526,2,3,0,16.6763,0.38478
-15.0573,0.971372,1.07526,1,3,0,15.0583,0.348499
-15.0059,1,1.07526,2,3,0,15.0658,0.358055
-14.921,0.932856,1.07526,2,3,0,15.4729,0.437934
-15.3441,0.874104,1.07526,1,3,0,15.6001,0.312023
-14.9127,0.977487,1.07526,1,3,0,15.4544,0.434538
-14.9275,0.804334,1.07526,2,3,0,16.1035,0.378304
-14.8861,0.919873,1.07526,2,3,0,15.423,0.416545
-15.125,0.936107,1.07526,1,3,0,15.2007,0.337964
-14.8857,1,1.07526,2,3,0,15.1117,0.416005
-15.6683,0.80625,1.07526,1,3,0,15.8947,0.284275
-15.5138,0.893655,1.07526,1,3,0,16.9647,0.52855
-16.1978,0.827155,1.07526,1,1,0,16.2711,0.581143
-14.896,0.993391,1.07526,1,3,0,16.1899,0.392668
-15.2157,0.929099,1.07526,1,3,0,15.2419,0.326101
-15.3179,0.920034,1.07526,2,3,0,16.0223,0.508206
-14.9198,1,1.07526,1,3,0,15.2164,0.437479
-14.8966,1,1.07526,2,3,0,14.9142,0.426101
-16.872,0.554663,1.07526,1,3,0,17.6014,0.21939
-16.8864,0.997239,1.07526,1,1,0,17.3262,0.218801
-17.3616,0.915238,1.07526,1,1,0,17.6776,0.200846
-16.0594,1,1.07526,1,1,0,17.1463,0.258753
-15.77,1,1.07526,1,1,0,16.1419,0.27701
-15.0169,0.998622,1.07526,1,3,0,15.5943,0.35586
-15.0099,1,1.07526,1,1,0,15.0466,0.357242
-15.0431,0.991514,1.07526,1,1,0,15.0691,0.350967
-17.3545,0.599583,1.07526,1,3,0,17.5718,0.201094
-15.9238,1,1.07526,1,1,0,17.0845,0.26692
-16.4341,0.819303,1.07526,2,3,0,18.2488,0.238909
-14.9065,1,1.07526,2,3,0,16.2123,0.431661
-14.9003,1,1.07526,1,1,0,14.9082,0.42837
-15.1968,0.934198,1.07526,1,3,0,15.2097,0.493192
-14.9667,1,1.07526,2,3,0,15.1373,0.366888
-15.6309,0.919745,1.07526,2,3,0,15.6915,0.539167
-16.3001,0.83119,1.07526,1,1,0,16.4017,0.587586
-15.0744,1,1.07526,2,3,0,16.0677,0.345652
-15.3551,0.932561,1.07526,1,1,0,15.3647,0.310929
-15.3551,0.943862,1.07526,1,1,0,15.6097,0.310929
-15.3551,0.88244,1.07526,1,1,0,15.7973,0.310929
-15.517,0.962281,1.07526,1,1,0,15.5997,0.296193
-15.8394,0.928861,1.07526,1,1,0,15.9275,0.272335
-14.9518,0.642317,1.07526,2,3,0,19.2484,0.448123
